verbose,filtered_extract_challenge_data_path,model_name_or_path,cache_dir,method,contrastive_coef,strat,relu_threshold,weight_subtraction_coef,num_epochs,lr,train_num,gradient_accu,num_epochs_su,lr_su,su_strength,focus,focus_dataset,focus_coeff,focus_type,focus_hard,do_sample,cd_num_token,DP,DP_coef,wikitext_perplexity,wikitext_rep_2,wikitext_rep_3,wikitext_rep_4,wikitext_div_2,wikitext_div_3,wikitext_mauve,wikitext_coherence,wikitext_similarity_gen,news_perplexity,news_rep_2,news_rep_3,news_rep_4,news_div_2,news_div_3,news_mauve,news_coherence,news_similarity_gen,el_3,el_5,el_10,similarity_ul,ma,piqa_,ai2_arc_ARC-Easy,ai2_arc_ARC-Challenge,super_glue_copa,winogrande_winogrande_s,validation_data/pubmed_qa.csv_,hellaswag_
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,10.0,1e-06,10.0,True,False,10.0,none,True,True,1000.0,False,0.0,61.752014248670605,0.061750384509906366,0.01595099447995534,0.006513470429993566,0.927664599526883,0.9621724277245151,0.5608665463213973,0.5333187242074773,0.3368551487680361,44.17950608954928,0.044225778651972296,0.009756048759474086,0.0036045595570268585,0.944925692472474,0.9690076586271962,0.5512485084016836,0.5313905510769422,0.4241910228652757,0.028605571014501206,0.011312810343437896,0.00297911523908152,0.3481741264137098,0.6352265406914323,0.6280797101449276,0.37419262917933127,0.37419262917933127,0.63,0.5223980978260869,0.5750269396551724,0.280448630510694
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,30.0,1e-07,30.0,True,False,10.0,none,True,True,1000.0,False,0.0,42.0709492837542,0.09016598725424417,0.03642617623263886,0.021015099977730732,0.8991317068114095,0.9413494291402583,0.5767287812387811,0.5624158756347044,0.3475951241876187,27.8077823955152,0.06080135547047427,0.021343022348833056,0.011469581691126843,0.9297385848442076,0.9596302355887704,0.6244616009002453,0.5482978364860869,0.4390154280001761,0.040803629848539615,0.020302458343349,0.00779876662447714,0.36583053961942974,0.6597058191969078,0.6306838768115942,0.3730765577507599,0.3730765577507599,0.64,0.5201426630434782,0.5750269396551724,0.2820309089917067
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,raw_gpt,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,2.0,0.0006,5.0,False,True,10.0,entity,False,True,1000.0,False,0.0,27.078726120909476,0.11862369629767203,0.05307974209333387,0.033382963654294565,0.8714690060083737,0.9260979336985737,0.5819144894569601,0.5646042961398212,0.3526571069334586,17.10310706844673,0.08359841289163901,0.03406698145030352,0.021252850654827963,0.9087668426227248,0.9502094101874093,0.6868085670569046,0.559318998420381,0.44899151527221487,0.20134673670261244,0.16140048926831493,0.11566401745631118,0.5418429236231604,0.7885,0.633695652173913,0.38129274316109424,0.38129274316109424,0.62,0.5154551630434783,0.5750269396551724,0.28195247708424265
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,100.0,1e-06,10.0,False,True,10.0,entity,False,True,1000.0,False,0.0,62.95490561609809,0.04812897728955899,0.008837276769112596,0.002129488299293089,0.9410689348062438,0.9689819283470174,0.6894762747500407,0.5474379478464162,0.345680932286213,78.63662241073116,0.03451262679234076,0.0056255716973901805,0.0014417871258897079,0.9519816095921315,0.9688552198672725,0.36091511297665674,0.515583418280005,0.40715751808811074,0.00966380913931645,0.0012885036176629814,0.00010567016468909897,0.3156332811534133,0.30673333333333336,0.6259963768115943,0.3697283434650456,0.3697283434650456,0.64,0.5152785326086956,0.5750269396551724,0.28141709406372767
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,10.0,1e-06,30.0,True,False,10.0,entity,True,True,1000.0,False,0.0,50.66034703862428,0.06813459494127763,0.019807952289161723,0.009400924734488824,0.921550222866805,0.9588234608060148,0.5544818555877309,0.533621104777682,0.3361308133794016,31.76737052191594,0.04777089999175073,0.010948742337825073,0.004594209280107682,0.942637728100103,0.9698250701742022,0.6017282870726325,0.5285538753190363,0.42305489934737833,0.057634076194123855,0.03642726689071112,0.01884054690119855,0.3808232073332319,0.669529740176079,0.633695652173913,0.37044072948328266,0.37044072948328266,0.63,0.5185801630434782,0.5750269396551724,0.28361318747271935
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,100.0,1e-06,3.0,True,False,10.0,entity,True,True,1000.0,False,0.0,36.990107432422015,0.07798371746735529,0.02493041875928748,0.012423051447272047,0.9122875448280313,0.954743430788061,0.6036569334508655,0.562848558988296,0.35445326044828335,20.76815914505392,0.05929454678238261,0.01702214468856971,0.0078046785106490576,0.9330495149630786,0.9673064070788141,0.7079352024092647,0.5483648900491783,0.44202509625982755,0.11817758379212141,0.0922105463108903,0.06542810331169772,0.45308164539207985,0.686922911745759,0.6261096014492754,0.38129274316109424,0.38129274316109424,0.62,0.5168410326086956,0.5750269396551724,0.282822048232213
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,3.0,1e-06,3.0,False,True,10.0,entity,False,True,1000.0,False,0.0,49.765710949693045,0.06782436681767849,0.01798822418747688,0.006888873075013339,0.9204514195094138,0.9577285694745699,0.7012370925010702,0.5619058836359002,0.35289505370828317,30.80964380411965,0.047792478736882554,0.011298627650580043,0.004358411958031266,0.9429421727634275,0.9711135724897005,0.6438908116273716,0.5400677563184761,0.43690617783880975,0.1227556187964647,0.08864595331563527,0.05442385115153018,0.46239994212754537,0.7665,0.6275588768115943,0.37236417173252284,0.37236417173252284,0.63,0.5209239130434782,0.5750269396551724,0.2835142950676561
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,100.0,1e-06,30.0,False,True,10.0,entity,False,True,1000.0,False,0.0,59.99780844955617,0.050664757128419724,0.009641769761989813,0.0026255802716928594,0.9392755466453337,0.9695923907171098,0.6784475089400875,0.5443514222033798,0.34397481551564474,82.6545147096339,0.03286182836150903,0.005196445393061198,0.0011329204739678033,0.953599780229967,0.9697189818475576,0.3572361669077462,0.5139431288517804,0.40336942829820605,0.006196566913360004,0.0005426078261353086,7.374081306736899e-06,0.3057926255295092,0.20973333333333333,0.6259963768115943,0.3619158434650456,0.3619158434650456,0.64,0.513804347826087,0.5750269396551724,0.2811204168485378
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,100.0,1e-06,3.0,True,False,10.0,none,True,True,1000.0,False,0.0,37.71516171535938,0.07645545681845999,0.024219506574331244,0.011171093407634065,0.9129814854436769,0.9538581714303394,0.6139444881886771,0.5599124003832732,0.3549839832470606,23.7083871094318,0.0558941332087704,0.016901911570925823,0.008315437876060625,0.9357539905717677,0.9665612573566557,0.697036615914614,0.5500403780386267,0.44061025736257026,0.08312558004321807,0.05858237964796775,0.036527374178952306,0.41990109654231444,0.6467683057762508,0.6301630434782609,0.3764247720364741,0.3764247720364741,0.63,0.5184918478260869,0.5750269396551724,0.28215026189436926
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,50.0,0.0001,15000.0,1.0,10.0,1e-06,30.0,True,False,10.0,none,True,True,1000.0,False,0.0,65.27254009180392,0.05855985511012906,0.013929153957023892,0.005188945128836166,0.930597498819444,0.9636744948017963,0.5609205484441373,0.5340740055481493,0.3354471913016538,49.72146608271471,0.04299684212112285,0.009259170815416983,0.003335764697691599,0.9456522707284686,0.9684958789509033,0.5090777936255314,0.5300091139348855,0.4211276055389479,0.026861466425958103,0.009976012117046636,0.002545879396839749,0.34163492384456384,0.6228258535537899,0.6275588768115943,0.3719604863221884,0.3719604863221884,0.63,0.523960597826087,0.5750269396551724,0.28064641532082063
