verbose,filtered_extract_challenge_data_path,model_name_or_path,cache_dir,method,contrastive_coef,strat,relu_threshold,weight_subtraction_coef,num_epochs,lr,train_num,num_epochs_su,lr_su,su_strength,focus,focus_coeff,focus_type,focus_hard,do_sample,cd_num_token,DP,DP_coef,piqa_,ai2_arc_ARC-Easy,ai2_arc_ARC-Challenge,super_glue_copa,winogrande_winogrande_s,validation_data/pubmed_qa.csv_,hellaswag_,wikitext_perplexity,wikitext_rep_2,wikitext_rep_3,wikitext_rep_4,wikitext_div_2,wikitext_div_3,wikitext_mauve,wikitext_coherence,wikitext_similarity_gen,news_perplexity,news_rep_2,news_rep_3,news_rep_4,news_div_2,news_div_3,news_mauve,news_coherence,news_similarity_gen,el_3,el_5,el_10,similarity_ul,ma,gradient_accu,focus_dataset,peft,rank,lora_alpha,lr_sc,warmup_steps,weight_decay
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,unlikelihood,0.1,relu2,0.0,0.25,1.0,5e-05,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5236639492753623,0.2603058510638298,0.2603058510638298,0.53,0.5004347826086957,0.32469019396551724,0.2584740560890441,4.528105911006777,0.9900000000000072,0.989949748743705,0.9898989898989888,0.009950248756219028,0.009950248756219028,0.004072096261961255,0.07471905448655113,0.0014949407974208986,3.381179987238467,0.9899999999998985,0.9899497487436731,0.9898989898989408,0.009950248756219072,0.009950248756219072,0.004115936124817217,0.025621702946514724,0.003644896774836612,0.0,0.0,0.0,0.021735150797723327,0.022683333333333333,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,1.0,3.0,0.0001,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5389492753623188,0.23454122340425534,0.23454122340425534,0.53,0.4837635869565218,0.3407192887931034,0.254023897861196,30678.38995673792,0.0016146008439607514,2.6204895896908636e-05,0.0,0.9913825277416034,0.9859458046598082,0.004346348284697189,0.1549408648214496,0.02597946515996266,26386.034143466728,0.0017167141455573397,1.8977774605829767e-05,3.411013480325288e-06,0.9912681256305734,0.9859271053681063,0.004181888491019915,0.15871724284502614,0.04955266760008231,0.0,0.0,0.0,0.08652569850613363,0.0,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,0.5,30.0,0.0001,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5207201086956521,0.2573613221884498,0.2573613221884498,0.51,0.49461277173913043,0.32469019396551724,0.25756356394587515,184.5559752068288,0.025059288766724037,0.000593646628874808,8.835951720359787e-06,0.9674674224579,0.9840893619536444,0.004262844779479401,0.0902253058803276,-7.034250835384449e-05,165.5488075085281,0.02342729481417573,0.0005181135683728174,1.5572377464271793e-05,0.9690299321281448,0.9840469667992319,0.004116608715207704,0.06979180902123926,0.013871516164603729,1.0570349307058283e-05,0.0,0.0,0.03339406775864384,0.004416666666666667,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,unlikelihood,0.1,relu2,0.0,0.25,5.0,5e-05,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5240715579710146,0.25705262158054715,0.25705262158054715,0.56,0.4983559782608696,0.32469019396551724,0.2579011621562637,4.528105911006777,0.9900000000000072,0.989949748743705,0.9898989898989888,0.009950248756219028,0.009950248756219028,0.004072096261961255,0.07471905448655113,0.0014949407974208986,3.381179987238467,0.9899999999998985,0.9899497487436731,0.9898989898989408,0.009950248756219072,0.009950248756219072,0.004115936124817217,0.025621702946514724,0.003644896774836612,0.0,0.0,0.0,0.021735150797723327,0.022683333333333333,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,1.0,10.0,0.0001,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5366394927536232,0.2446808510638298,0.2446808510638298,0.48,0.49418478260869564,0.26501885775862066,0.2561006383675251,24800.583224155394,0.0031623997376802257,4.8918245223367106e-05,0.0,0.9902491348348957,0.9867334756844589,0.004432919261258361,0.15516765982174366,0.02049081271030523,21666.08656776497,0.0032096187855073064,3.467826981804548e-05,0.0,0.9901882086974947,0.9867192067485012,0.004165948546703112,0.17969756107406312,0.05819708475645027,0.0,0.0,0.0,0.07595319545532112,0.0,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,0.5,3.0,0.0006,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5203125,0.26182560790273557,0.26182560790273557,0.48,0.4930502717391304,0.32469019396551724,0.2572668867306853,176.1185812926554,0.02927406750588324,0.0007929491147764491,8.420839894571073e-06,0.9634080164101919,0.9841476456003333,0.004203029786575949,0.08775777589422247,0.00029714737809642943,157.58718090201936,0.02775971259606242,0.0006516445900189239,9.432238584613675e-06,0.9648416252879345,0.9841437759490471,0.004094728241540321,0.06176123296122152,0.01628288597346699,1.9555712416784753e-05,0.0,0.0,0.04007030112506278,0.005033333333333333,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,0.25,3.0,0.0001,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5123867753623188,0.24477583586626142,0.24477583586626142,0.55,0.48228940217391303,0.32273706896551724,0.25685085661283286,217.6682117065415,0.1207161413274242,0.02358644385901218,0.0071334485475067965,0.87260558750763,0.9616146836064633,0.0045514386278711905,0.06057001207224847,0.014815937021894467,215.57387546029534,0.10566137176113945,0.017072129420512165,0.004718997740155377,0.887405541862104,0.9679869200408855,0.0041396044647456325,0.06205771548814508,0.03567718456100869,1.403253601536168e-05,2.796337988401339e-07,0.0,0.04045876103711392,0.009883333333333333,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,1.0,30.0,0.0001,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5310235507246377,0.23798442249240123,0.23798442249240123,0.5,0.48637228260869564,0.10028286637931035,0.2561586097773898,17724.177536174735,0.0043276221507628524,5.841347866169903e-05,0.0,0.9890587855458806,0.9866580435054044,0.0040720962619612555,0.15831332523819794,0.02177422200919712,15583.169196485625,0.004174920570289846,3.456312833823837e-05,1.575974582681939e-06,0.9891990501182993,0.9866587735710285,0.004184461878904905,0.16667540044898532,0.05201104904247394,0.0,0.0,0.0,0.07977409621373906,0.0,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,0.5,10.0,0.0006,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5145833333333333,0.2524933510638298,0.2524933510638298,0.49,0.5009510869565218,0.32469019396551724,0.25659510039284156,169.0882754289426,0.030984004862180958,0.0007462504230450164,9.225773119787405e-06,0.9618845763988315,0.9845515714381975,0.0043041896209630405,0.09402242777787308,0.009153164358788556,152.45612771302484,0.028827047897575068,0.0006801802863970645,1.3107449813396772e-05,0.9639840413357068,0.9845301005466731,0.004072096261961256,0.07099489006863172,0.022220471652701915,1.7542801698915427e-05,0.0,0.0,0.039184808612642036,0.005033333333333333,,,,,,,,
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,weight_subtraction,0.1,relu2,0.0,0.25,10.0,0.0001,15000.0,2.0,0.0006,5.0,False,10.0,entity,False,True,1000.0,False,0.0,0.5138813405797101,0.24142762158054712,0.24142762158054712,0.52,0.5127581521739131,0.32058189655172414,0.25924473483195115,307.7209112234085,0.10374465849202077,0.01633219502853501,0.004046559098346465,0.8892785811384062,0.9683822227290564,0.004706369404875605,0.06957895812605376,0.018488636952001074,305.35927794284993,0.09494779182832547,0.014711659820450595,0.004150280379428863,0.8978920064062191,0.9697419132535275,0.004113849213438535,0.07439866388936442,0.03669210443116884,1.3881149517421974e-05,4.473465338022049e-07,0.0,0.04447060340874207,0.008633333333333333,,,,,,,,
