verbose,filtered_extract_challenge_data_path,model_name_or_path,teacher_model,cache_dir,method,contrastive_coef,strat,relu_threshold,weight_subtraction_coef,train_batch_size,num_epochs,lr,peft,rank,lora_alpha,train_num,gradient_accu,lr_sc,warmup_steps,weight_decay,dropout,early_stop,early_stop_criteria,num_epochs_su,lr_su,su_strength,focus,focus_dataset,focus_coeff,focus_type,focus_hard,do_sample,top_k,cd_num_token,DP,DP_coef,early_stop_epoch,wikitext_perplexity,wikitext_rep_2,wikitext_rep_3,wikitext_rep_4,wikitext_div_2,wikitext_div_3,wikitext_mauve,wikitext_coherence,wikitext_similarity_gen,news_perplexity,news_rep_2,news_rep_3,news_rep_4,news_div_2,news_div_3,news_mauve,news_coherence,news_similarity_gen,el_3,el_5,el_10,similarity_ul,ma,piqa_,ai2_arc_ARC-Easy,ai2_arc_ARC-Challenge,super_glue_copa,winogrande_winogrande_s,validation_data/pubmed_qa.csv_,hellaswag_
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.5,100.0,1e-06,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,1.2816,119.81554604049623,0.047948337705930474,0.006556810917818621,0.0011673780040223007,0.937178619625224,0.9642687623946224,0.21571488513912074,0.48606579635792424,0.3049701768063579,101.26648832053574,0.036489288435938405,0.004267320068261996,0.0005954325732497873,0.9481346474380576,0.9668928245162705,0.13593442268875813,0.48773479081719995,0.3823461392495514,0.012905649854689751,0.0016853461774529776,6.897556565952781e-05,0.3363464265276484,0.5356,0.6508620689655172,0.39699074074074076,0.39699074074074076,0.703125,0.5271792763157894,0.534375,0.3103258206761392
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.25,100.0,1e-07,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,3.4181333333333335,189.1284962074191,0.061190567639142414,0.011888769113048375,0.003542138062063813,0.9197095146444642,0.951393759211327,0.07840937219675603,0.5145352888885076,0.33195893427326695,69.46032505798107,0.05012115375412849,0.00996561251344661,0.0030324064919398657,0.9354535558777056,0.962981073554777,0.1179446719638499,0.5224333379373133,0.42533616988909934,0.025779197110002105,0.006199580591957821,0.0009459473441831855,0.346168325335676,0.6579,0.6754156403940887,0.42939814814814814,0.42939814814814814,0.7109375,0.5383634868421052,0.547265625,0.33154703576678096
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.25,100.0,1e-07,3.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,4.273066666666667,65.108835883218,0.0890667230286609,0.023354192545903107,0.008234944254066607,0.8989313259933837,0.9516224489169982,0.23302651432448734,0.5363738132988943,0.3443584565909923,31.93516230395535,0.06368537055413467,0.014864121072941947,0.005232205698106983,0.9267463035528036,0.9662829811311555,0.32303336502187724,0.5309023914109188,0.43970844814965715,0.10565512082138497,0.07183697089761153,0.04141099892738356,0.4653223009084351,0.7448166666666667,0.6723368226600985,0.4318672839506173,0.4318672839506173,0.7109375,0.5245476973684211,0.555078125,0.3290589784419402
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.5,100.0,1e-06,3.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,4.273066666666667,54.15815065923783,0.0680901358211526,0.014893203115009138,0.004728717313355555,0.9209024162470896,0.9635507834039847,0.5270404673743423,0.5553505393761763,0.3495659301433726,47.67214658505116,0.04762962291055267,0.008660549553218964,0.002155630363543883,0.9409526153613113,0.9686536184881238,0.4372079376652658,0.5240496753221489,0.42130948596752704,0.10981407274170911,0.07587426094552652,0.04367425073619215,0.46932800715109335,0.74405,0.6460129310344828,0.40154320987654324,0.40154320987654324,0.6875,0.5277138157894737,0.558984375,0.3101267760901519
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.05,100.0,1e-07,3.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,2.3498666666666668,38.73904070988888,0.09567127016025716,0.03378169145031836,0.017365619224270094,0.893815912482353,0.9454919114389377,0.5117916552484403,0.5710845143163817,0.38293387573866766,19.480905115236894,0.0663919253468035,0.02046595752814102,0.010014939301908273,0.9249111736709366,0.9624649108887058,0.6220482323061678,0.5615346840178349,0.4834946164410502,0.09717501447935788,0.06275398332084389,0.03311557813658848,0.45939190459884705,0.7526,0.686884236453202,0.4423611111111111,0.4423611111111111,0.6640625,0.5508634868421052,0.547265625,0.3476926139147477
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.1,100.0,1e-07,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,2.5632,102.892979416272,0.0699499081047396,0.018643217723591045,0.00700407322732812,0.9139276229470059,0.9519096765593059,0.17592610433398362,0.5541257774515762,0.36642644334750407,42.08001640017302,0.0546113823799557,0.013298937614957585,0.004905088849069723,0.9331908340083915,0.9633872977177912,0.29714269727689535,0.5463537694923432,0.46024923064396717,0.0339506786199088,0.010983986147225209,0.0026022321113548814,0.3538298679682426,0.67035,0.6852678571428572,0.44112654320987654,0.44112654320987654,0.7265625,0.5435855263157895,0.54921875,0.3419203209211171
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.05,100.0,1e-07,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,2.3498666666666668,106.41334531103372,0.06860970085726116,0.018762601894815847,0.0071054466211947645,0.9134908551946795,0.9494584024464524,0.23138594325964074,0.5587619987305913,0.37182782166210965,35.317109322688054,0.05607642904442494,0.015171399035978434,0.00640660635057472,0.9325478237939192,0.9624357087902774,0.40836054519421516,0.5534385893924303,0.4705789597898414,0.03769031703956636,0.013505803370133278,0.003427524142541741,0.3606838662597739,0.6796833333333333,0.6831126847290641,0.44575617283950614,0.44575617283950614,0.7265625,0.5428042763157894,0.547265625,0.34550312346888784
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,0.0,0.0,0.0,True,1.1,100.0,1e-07,3.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,2.776533333333333,52.81298113403389,0.09119926699423862,0.028371351856844397,0.01213639787017533,0.8970223784104744,0.9483200789149093,0.30710702235770865,0.5674033745319361,0.3749847457004498,23.02531465872844,0.06431440700927066,0.018221254176306673,0.00800725512006551,0.9265480345013197,0.9638289772113438,0.5460369569503419,0.5559300882407868,0.4729390008636171,0.10060536231181995,0.06626721284684832,0.036482677993239614,0.46076199493691483,0.7474,0.6831126847290641,0.4446759259259259,0.4446759259259259,0.7265625,0.5477384868421052,0.551171875,0.34172127633512983
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,1e-05,10.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,,23.243047584075434,0.15315487293029173,0.07570323191534938,0.048338703625972305,0.8379099905458646,0.9052659892157546,0.43579094330545376,0.5896877542493334,0.38789617013387206,14.778373182772588,0.11231457506123557,0.05219881543952808,0.03345995849857362,0.8800051508565296,0.9315678696856955,0.5931438581992406,0.5828150411051108,0.4852088998608473,0.04853126917342356,0.02585033774436365,0.011891725456154524,0.40477536585249846,0.5945351084389092,0.6910406403940887,0.44004629629629627,0.44004629629629627,0.65625,0.5414884868421053,0.5640625,0.3418207986281235
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,1e-06,3.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,33.56164383561644,20.620124950907844,0.10505483848685335,0.04063876670407609,0.022413645545539682,0.8858596418882362,0.9414848681562803,0.7008959427367265,0.6073577000176443,0.4154180625799478,11.844395100956126,0.07627942580959894,0.02855171328489701,0.01647334529083383,0.9165035285198844,0.9565710625926925,0.7406578661668759,0.5842249288976905,0.5055205831253173,0.0708341918478911,0.045369483855559806,0.024793032701222444,0.4527415073297897,0.6539080953403479,0.6964285714285715,0.4399691358024691,0.4399691358024691,0.65625,0.5521792763157894,0.534765625,0.3604314674179324
